ID,Sex,Genotype,B Cells Freq of Lymphocytes,T Cells Freq of Lymphocytes,CD4pos T Cells Freq of T Cells,CD8pos T Cells Freq of T Cells,Lymphocytes Freq of Live Cells,T Cells Freq of Live Cells,Microglia Freq of Live Cells,Myeloid Cells Freq of Live Cells,MHC-IIpos Microglia Freq of Microglia,Neutrophils Freq of Myeloid Cells,DCs Freq of Myeloid Cells,Monocytes Freq of Myeloid Cells,Monocytes Freq of Live Cells,Neutrophils Freq of Live Cells,B Cells Freq of Live Cells,Ly-6Cpos Monocytes Freq of Monocytes,MHC-IIpos Ly-6Cpos Monocytes Freq of Monocytes,MHC-IIpos Monocytes Freq of Monocytes,GMFI MHC-II on B Cells,GMFI MHC-II on Microglia,GMFI MHC-II on MHC-IIpos Microglia,GMFI MHC-II on Neutrophils,GMFI MHC-II on DCs,GMFI MHC-II on Monocytes,GMFI MHC-II on MHC-IIpos Ly-6Cpos Monocytes,GMFI MHC-II on MHC-IIpos Monocytes,GMFI Ly-6C on Ly-6Cpos Monocytes,GMFI Ly-6C on Monocytes,GMFI Ly-6C on MHC-IIpos Ly-6Cpos Monocytes
298,Male,WT,17.4,65.1,12.9,77.6,14.5,9.4,13,9.37,23.6,29.4,8.67,61.7,5.78,2.76,2.51,34.8,15.4,18.4,11287,457,2588,190,12333,972,4288,9892,33823,3028,11028
530,Male,WT,19.9,56.2,11.3,68.6,12.135,9.1,14.04,5.54,18.12,28.3,2.76,71.3,3.94,1.57,2.254,10.8,17.36,25.96,9114,199.2,2504.8,-108,12900,2397.5,6488,11243,44610.4,1486.8,11727
532,Male,WT,18.9,62.6,15.5,76.8,13.89,11.6,12.6,5.81,23.4,30.4,10.8,67.8,3.94,1.77,2.45,16.8,21.2,23.32,10758,418,2932.8,140,14244,1960,7089,10084,38758.4,1845.6,11887
535,Male,WT,14.4,57.9,14.9,72.4,17.55,13.58,18.54,11.1,20.04,45.2,4.08,54.2,6,5.01,2.352,35.5,17.66,17.2,12312,286,2728,-418,12315,937.3,4205,9127,45875.2,3969.6,12979
618,Male,WT,17,55.3,27.6,52.4,17.85,13.16,15.93,9.33,32.16,18.5,10.26,79.8,7.45,1.72,2.828,7.67,11.96,30.6,11352,786,3516.8,817,14122.5,3705.1,6057,11651,31636,1170,12791
150,Male,WT,16.8,66.7,14.6,72.4,17.9,11.9,20.3,8.67,17.2,28.2,6.59,65.1,5.64,2.45,2.99,28.4,13.6,29.8,10173,449,3357,393,20450,1520,4817,12044,35422,2311,16000
160,Male,WT,11.9,70.2,7.38,81,14.3,10,12.1,7.77,25.4,27.6,14.7,57.4,4.46,2.15,1.7,33.1,20.6,21.2,11349,507,2405,272,13592,1286,4326,10702,39279,3520,11785
534,Male,KO,10.5,40.5,13.6,70.3,21.9,11.84,2.187,7.57,40.32,32.1,2.76,67.5,5.11,2.43,2.156,31.3,32,10,12596,860,2249.6,-586,8418,639.1,4389,7044,24864,3474,11895
550,Male,KO,6.55,85.2,3.27,85.8,29.1,24.8,7.23,7.15,24.8,22.6,4.57,72.8,5.21,1.62,1.91,35.1,5.77,9.85,11548,541,2951,239,14864,548,6778,12839,24252,2051,10360
551,Male,KO,11.8,75.1,6.73,85.6,29.4,22.1,6.53,4.73,35.5,37.6,2.78,59.4,2.81,1.78,3.46,18,30.9,32.7,10515,835,1907,2082,11852,2637,3667,10421,26918,2594,13753
